variant,date,game_pk,matchup,actual_score,actual_winner,winner_pick,winner_correct,avg_away_score,avg_home_score,actual_total,total_line,totals_pick,totals_correct,duplicate_positions,bad_order
before_old_roster,2026-06-28,823686,科羅拉多洛磯 @ 明尼蘇達雙城,2-3,home,home,True,2.74,3.19,5,8.5,under,True,2,0
before_old_roster,2026-06-28,823769,芝加哥小熊 @ 密爾瓦基釀酒人,4-3,away,home,False,6.48,6.35,7,8.5,over,False,1,0
before_old_roster,2026-06-28,824256,休士頓太空人 @ 底特律老虎,7-5,away,home,False,2.92,3.52,12,8.5,under,False,2,0
before_old_roster,2026-06-28,822959,亞利桑那響尾蛇 @ 坦帕灣光芒,1-5,home,away,False,3.95,2.79,6,7.5,under,True,1,0
before_old_roster,2026-06-28,824821,華盛頓國民 @ 巴爾的摩金鶯,6-4,away,away,True,4.11,3.54,10,8.5,under,False,3,0
before_old_roster,2026-06-28,823037,邁阿密馬林魚 @ 聖路易紅雀,1-2,home,home,True,2.68,5.4,3,9.5,under,True,4,0
before_old_roster,2026-06-28,824580,堪薩斯市皇家 @ 芝加哥白襪,5-4,away,away,True,3.48,2.52,9,8.5,under,False,5,0
before_old_roster,2026-06-28,823362,辛辛那提紅人 @ 匹茲堡海盜,4-9,home,home,True,2.17,3.12,13,8.5,under,False,4,0
before_old_roster,2026-06-28,822795,德州遊騎兵 @ 多倫多藍鳥,3-2,away,home,False,2.49,3.06,5,8.5,under,True,2,0
before_old_roster,2026-06-28,823281,洛杉磯道奇 @ 聖地牙哥教士,4-2,away,away,True,5.62,2.64,6,7.5,over,False,2,0
before_old_roster,2026-06-28,823608,費城費城人 @ 紐約大都會,5-4,away,away,True,3.82,2.37,9,8.5,under,False,3,0
before_old_roster,2026-06-28,823204,亞特蘭大勇士 @ 舊金山巨人,2-3,home,home,True,3.67,4.28,5,7.5,over,False,2,0
before_old_roster,2026-06-28,824011,運動家 @ 洛杉磯天使,1-4,home,away,False,4.81,2.64,5,9.5,under,True,3,0
before_old_roster,2026-06-28,824422,西雅圖水手 @ 克里夫蘭守護者,5-6,home,away,False,2.88,2.02,11,7.5,under,False,3,0
after_fixed_recent,2026-06-28,823686,科羅拉多洛磯 @ 明尼蘇達雙城,2-3,home,home,True,2.83,3.35,5,8.5,under,True,0,0
after_fixed_recent,2026-06-28,823769,芝加哥小熊 @ 密爾瓦基釀酒人,4-3,away,away,True,6.71,6.1,7,8.5,over,False,0,0
after_fixed_recent,2026-06-28,824256,休士頓太空人 @ 底特律老虎,7-5,away,home,False,3.12,3.25,12,8.5,under,False,0,0
after_fixed_recent,2026-06-28,822959,亞利桑那響尾蛇 @ 坦帕灣光芒,1-5,home,away,False,3.6,2.81,6,7.5,under,True,0,0
after_fixed_recent,2026-06-28,824821,華盛頓國民 @ 巴爾的摩金鶯,6-4,away,away,True,3.79,3.3,10,8.5,under,False,0,0
after_fixed_recent,2026-06-28,823037,邁阿密馬林魚 @ 聖路易紅雀,1-2,home,home,True,2.82,5.3,3,9.5,under,True,0,0
after_fixed_recent,2026-06-28,824580,堪薩斯市皇家 @ 芝加哥白襪,5-4,away,away,True,3.81,2.5,9,8.5,under,False,0,0
after_fixed_recent,2026-06-28,823362,辛辛那提紅人 @ 匹茲堡海盜,4-9,home,home,True,2.25,3.36,13,8.5,under,False,0,0
after_fixed_recent,2026-06-28,822795,德州遊騎兵 @ 多倫多藍鳥,3-2,away,home,False,2.44,3.11,5,8.5,under,True,0,0
after_fixed_recent,2026-06-28,823281,洛杉磯道奇 @ 聖地牙哥教士,4-2,away,away,True,5.91,2.57,6,7.5,over,False,0,0
after_fixed_recent,2026-06-28,823608,費城費城人 @ 紐約大都會,5-4,away,away,True,3.55,2.43,9,8.5,under,False,0,0
after_fixed_recent,2026-06-28,823204,亞特蘭大勇士 @ 舊金山巨人,2-3,home,home,True,3.32,3.91,5,7.5,under,True,0,0
after_fixed_recent,2026-06-28,824011,運動家 @ 洛杉磯天使,1-4,home,away,False,4.79,2.88,5,9.5,under,True,0,0
after_fixed_recent,2026-06-28,824422,西雅圖水手 @ 克里夫蘭守護者,5-6,home,away,False,2.84,2.0,11,7.5,under,False,0,0
